rowId,flowStint,gameId,stint,competitionId,updated,teamId,teamMarket,teamName,conferenceId,divisionId,isExhib,inDivision,lineupId,periodNumber,gameFlowPeriod,sStart,sEnd,cStart,cEnd,secs,ptsScored,ptsAgst,netPts,fgm,fga,fgm2,fga2,fgm3,fga3,ftm,fta,ast,stl,tov,drb,orb,fgmAgst,fgaAgst,fgm2Agst,fga2Agst,fgm3Agst,fga3Agst,ftaAgst,astAgst,tovAgst,stlAgst,drbAgst,orbAgst,cDiff,reb,rebAgst,fg2Pct,fg3Pct,ftPct,oPoss,dPoss,avgPoss,oppp,dppp,netppp,isQualified
2165632-105319-1,1,2165632,3,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1321322-1599502-1941851-1941856-1712870,1,1,0.0,229.0,10:00,06:11,229.0,5,6,-1,2,7,1,5,1,2,0,0,2,0,3,3,4,3,7,3,4,0,3,0,2,0,2,1,1,03:49,7,2,0.2,0.5,,5.72,5.93,5.825,0.8741,1.0118,-0.1377,true
2165632-105319-2,2,2165632,4,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1321322-1599502-1941851-1941856-1941846,1,1,229.0,313.0,06:11,04:47,84.0,5,0,5,2,4,1,3,1,1,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,2,0,2,1,01:24,0,3,0.3333,1.0,,4.0,1.8599999999999999,2.93,1.25,0.0,1.25,true
2165632-105319-3,3,2165632,5,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1321322-1599502-1941851-981711-1941846,1,1,313.0,419.0,04:47,03:01,106.0,0,3,-3,0,2,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,1,2,0,1,1,0,2,1,01:46,0,3,0.0,,,2.0,1.93,1.965,0.0,1.5544,-1.5544,false
2165632-105319-4,4,2165632,6,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1321322-1941851-981711-1941846-1712870,1,1,419.0,571.2,03:01,00:28,152.2,6,5,1,3,4,3,4,0,0,0,0,1,0,0,2,0,1,4,0,2,1,2,2,1,0,0,1,1,02:32,2,2,0.75,,,4.0,3.7299999999999995,3.865,1.5,1.3405,0.1595,true
2165632-105319-5,5,2165632,7,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1599502-1941851-981711-1941856-1712870,1,1,571.2,600.0,00:28,00:00,28.799999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,00:29,0,1,,,,1.0,0.92999999999999994,0.965,0.0,0.0,0.0,false
2165632-105319-6,6,2165632,8,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1599502-1941851-979745-1941856-1712870,2,2,600.0,811.0,10:00,06:29,211.0,2,4,-2,1,5,1,3,0,2,0,0,1,1,1,3,0,2,6,2,3,0,3,0,1,1,1,4,1,03:31,3,5,0.3333,0.0,,6.0,5.93,5.965,0.3333,0.6745,-0.3412,true
2165632-105319-7,7,2165632,9,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1321322-1599502-979745-1941856-1712870,2,2,811.0,1026.0,06:29,02:54,215.0,4,4,0,2,6,2,5,0,1,0,0,1,0,0,4,1,2,7,2,5,0,2,0,2,0,0,3,1,03:35,5,4,0.4,0.0,,4.93,5.93,5.43,0.8114,0.6745,0.1368,true
2165632-105319-8,8,2165632,10,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1321322-1599502-1941851-1941856-1941846,2,2,1026.0,1157.7,02:54,00:42,131.70000000000002,6,4,2,3,4,3,4,0,0,0,0,2,0,0,1,0,2,3,2,3,0,0,0,1,0,0,1,0,02:12,1,1,0.75,,,4.0,3.0,3.5,1.5,1.3333,0.1667,true
2165632-105319-9,9,2165632,11,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1321322-1599502-1941851-943771-1941856,2,2,1157.7,1200.0,00:42,00:00,42.300000000000004,0,2,-2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,00:42,0,0,,0.0,,1.0,0.8,0.9,0.0,2.5,-2.5,false
2165632-105319-10,10,2165632,12,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1321322-1599502-1941851-1941856-1712870,3,3,1200.0,1629.0,10:00,02:51,429.0,7,13,-6,2,6,2,5,0,1,3,4,2,0,5,6,1,5,13,2,8,3,5,0,3,1,4,3,2,07:09,7,5,0.4,0.0,0.75,11.53,11.86,11.695,0.6071,1.0961,-0.489,true
2165632-105319-11,11,2165632,13,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1321322-1941851-981711-1941856-1941846,3,3,1629.0,1714.0,02:51,01:26,85.0,3,4,-1,1,2,1,2,0,0,1,1,0,0,1,1,0,2,3,2,3,0,0,0,2,0,0,1,0,01:25,1,1,0.5,,1.0,3.4,3.0,3.2,0.8824,1.3333,-0.451,true
2165632-105319-12,12,2165632,14,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1599502-1941851-979745-1941856-1941846,3,3,1714.0,1766.5,01:26,00:33,52.5,2,2,0,1,2,1,1,0,1,0,0,1,0,0,2,0,0,1,0,1,0,0,4,0,0,0,1,0,00:53,2,1,1.0,0.0,,2.0,2.6,2.3,1.0,0.7692,0.2308,false
2165632-105319-13,13,2165632,15,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1599502-1941851-979745-943771-1712870,3,3,1766.5,1800.0,00:33,00:00,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,1,0,1,00:34,1,1,,,,1.0,0.92999999999999994,0.965,0.0,0.0,0.0,false
2165632-105319-14,14,2165632,15,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1599502-1941851-979745-943771-1712870,4,4,1800.0,1880.0,10:00,08:40,80.0,2,0,2,1,3,1,2,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,01:20,1,2,0.5,0.0,,1.93,0.92999999999999994,1.43,1.0363,0.0,1.0363,false
2165632-105319-15,15,2165632,16,33535,2023-02-12 21:59:26.000000 UTC,105319,Oregon,Ducks,74,1,false,true,1321322-1599502-1941851-943771-1712870,4,4,1880.0,2000.0,08:40,06:40,120.0,2,4,-2,1,2,1,1,0,1,0,1,0,0,0,1,0,2,3,2,2,0,1,0,1,0,0,2,0,02:00,1,2,1.0,0.0,0.0,2.4,3.0,2.7,0.8333,1.3333,-0.5,true
