rowId,flowStint,gameId,stint,competitionId,updated,teamId,teamMarket,teamName,conferenceId,divisionId,isExhib,inDivision,lineupId,periodNumber,gameFlowPeriod,sStart,sEnd,cStart,cEnd,secs,ptsScored,ptsAgst,netPts,fgm,fga,fgm2,fga2,fgm3,fga3,ftm,fta,ast,stl,tov,drb,orb,fgmAgst,fgaAgst,fgm2Agst,fga2Agst,fgm3Agst,fga3Agst,ftaAgst,astAgst,tovAgst,stlAgst,drbAgst,orbAgst,cDiff,reb,rebAgst,fg2Pct,fg3Pct,ftPct,oPoss,dPoss,avgPoss,oppp,dppp,netppp,isQualified
2168345-105491-1,1,2168345,3,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-951661-1321392-957639-1321388,1,1,0.0,244.0,10:00,05:56,244.0,6,7,-1,3,7,3,6,0,1,0,0,1,0,1,2,1,3,5,2,4,1,1,0,1,2,0,3,0,04:04,3,3,0.5,0.0,,6.93,7.0,6.965,0.8658,1.0,-0.1342,true
2168345-105491-2,2,2168345,4,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1689294-1321390-1321392-1321388-1615279,1,1,244.0,304.0,05:56,04:56,60.0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,01:00,2,2,0.0,,,2.0,2.0,2.0,0.0,0.0,0.0,false
2168345-105491-3,3,2168345,5,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1689294-1321390-1321392-1321394-1615279,1,1,304.0,433.0,04:56,02:47,129.0,3,9,-6,1,3,0,2,1,1,0,0,1,0,1,0,1,4,5,3,4,1,1,0,3,0,1,1,1,02:09,1,2,0.0,1.0,,2.9299999999999997,3.9299999999999997,3.43,1.0239,2.2901,-1.2662,true
2168345-105491-4,4,2168345,6,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1689294-1321390-1321392-1321394-1321388,1,1,433.0,460.0,02:47,02:20,27.0,0,3,-3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,00:27,0,1,,0.0,,2.0,1.4,1.7,0.0,2.1429,-2.1429,false
2168345-105491-5,5,2168345,7,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1689294-1321390-1321392-957639-1321394,1,1,460.0,600.0,02:20,00:00,140.0,2,2,0,1,4,1,3,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,3,0,3,0,02:20,0,3,0.3333,0.0,,4.0,4.0,4.0,0.5,0.5,0.0,true
2168345-105491-6,6,2168345,8,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-951661-1321392-957639-1913006,2,2,600.0,647.0,10:00,09:13,47.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,00:47,1,1,0.0,,,2.0,1.0,1.5,0.0,0.0,0.0,false
2168345-105491-7,7,2168345,9,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,951661-1689293-1321392-957639-1913006,2,2,647.0,772.0,09:13,07:08,125.0,4,2,2,1,4,1,3,0,1,2,2,0,1,0,1,1,1,3,1,3,0,0,0,1,2,0,2,1,02:05,2,3,0.3333,0.0,1.0,3.7299999999999995,3.9299999999999997,3.83,1.0724,0.5089,0.5635,true
2168345-105491-8,8,2168345,10,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,951661-1689293-957639-1913006-1321394,2,2,772.0,833.0,07:08,06:07,61.0,2,2,0,1,3,1,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,01:01,1,1,0.3333,,,1.93,2.0,1.965,1.0363,1.0,0.0363,false
2168345-105491-9,9,2168345,11,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1689294-1689293-957639-1689291-1321394,2,2,833.0,914.0,06:07,04:46,81.0,0,2,-2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,01:21,0,1,,0.0,,2.0,2.0,2.0,0.0,1.0,-1.0,false
2168345-105491-10,10,2168345,12,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321386-1689294-1689293-1689291-1321394,2,2,914.0,1129.0,04:46,01:11,215.0,13,7,6,5,8,4,7,1,1,2,2,1,0,0,3,3,3,7,2,5,1,2,1,2,1,0,0,2,03:35,6,2,0.5714,1.0,1.0,5.5900000000000007,6.6880000000000006,6.139,2.3256,1.0467,1.2789,true
