_id,updated,competitionId,homeId,awayId,homeConferenceId,awayConferenceId,gameId,isLiveStream,isNeutral,inDivision,gameDate,tournamentId,conferenceId,didHomeWin,isExhib,isExhibAgst,periodNumber,periodType,periodIdx,period,teamIdAgst,teamMarketAgst,teamId,teamMarket,playerId,fullName,actionNumber,minsIntoGame,secsIntoGame,clock,shotClock,actionDuration,actionType,subType,success,homePts,awayPts,homeScore,awayScore,side,anGs,paGs,xRaw,yRaw,x,y,hexX,hexY,shotDist,zonesGenius,zones6,zones13,zones17,dists7,awayLineupId,homeLineupId,prevActionType,assisterId
2171580-8,2022-12-16 05:03:04 UTC,33535,105502,105632,74,74,2171580,true,false,true,2022-12-15,0,74,false,false,false,1,REGULAR,1,q1,105502,Southern California,105632,UCLA,1320951,Charisma Osborne,8,1,31,09:29:00,4,20,2pt,layup,false,0,0,0,0,LEFT,13,0,7,56,28,40.42,27.8875,39.9,3.282,underbasket,atr2,atr2,atr2,atr2,1320951-958626-1320952-1928812-1612047,1309478-958190-1599990-1001636-1688710,foulon,
2171580-10,2022-12-16 05:03:04 UTC,33535,105502,105632,74,74,2171580,true,false,true,2022-12-15,0,74,false,false,false,1,REGULAR,1,q1,105502,Southern California,105632,UCLA,958626,Gina Conti,10,1,38,09:22:00,17,4,3pt,jumpshot,false,0,0,0,0,LEFT,15,0,30,29,14.5,18.799999999999997,13.3375,18.9,25.238,outsideleft,atb3,lw3,lw3,lng3,1320951-958626-1320952-1928812-1612047,1309478-958190-1599990-1001636-1688710,rebound,
2171580-12,2022-12-16 05:03:04 UTC,33535,105502,105632,74,74,2171580,true,false,true,2022-12-15,0,74,false,false,false,1,REGULAR,1,q1,105632,UCLA,105502,Southern California,1001636,Kadi Sissoko,12,1,57,09:03:00,14,15,2pt,drivinglayup,true,2,0,2,0,RIGHT,17,0,95,55,22.5,42.3,21.825,42,2.56,underbasket,atr2,atr2,atr2,atr2,1320951-958626-1320952-1928812-1612047,1309478-958190-1599990-1001636-1688710,rebound,958190
2171580-14,2022-12-16 05:03:04 UTC,33535,105502,105632,74,74,2171580,true,false,true,2022-12-15,0,74,false,false,false,1,REGULAR,1,q1,105502,Southern California,105632,UCLA,1320951,Charisma Osborne,14,2,64,08:56:00,27,7,3pt,jumpshot,false,0,0,2,0,LEFT,19,0,16,6,3,31.960000000000008,3.6375,31.5,24.08,outsideleft,atb3,lw3,lw3,sht3,1320951-958626-1320952-1928812-1612047,1309478-958190-1599990-1001636-1688710,assist,
2171580-17,2022-12-16 05:03:04 UTC,33535,105502,105632,74,74,2171580,true,false,true,2022-12-15,0,74,false,false,false,1,REGULAR,1,q1,105502,Southern California,105632,UCLA,1320951,Charisma Osborne,17,3,124,07:56:00,3,28,3pt,jumpshot,false,0,0,2,0,LEFT,26,0,36,29,14.5,13.160000000000004,14.55,12.6,30.457,outsidecenter,heave3,heave3,heave3,heave3,1928813-1320951-1320952-1928812-1612047,1309478-958190-1599990-1001636-1688710,turnover,
2171580-19,2022-12-16 05:03:04 UTC,33535,105502,105632,74,74,2171580,true,false,true,2022-12-15,0,74,false,false,false,1,REGULAR,1,q1,105632,UCLA,105502,Southern California,958190,Destiny Littleton,19,3,131,07:49:00,25,4,2pt,drivinglayup,false,0,0,2,0,RIGHT,29,0,89,56,22,36.66,21.825,37.8,5.908,inthepaint,paint2,paint2,slp2,sht2,1928813-1320951-1320952-1928812-1612047,1309478-958190-1599990-1001636-1688710,rebound,
2171580-22,2022-12-16 05:03:04 UTC,33535,105502,105632,74,74,2171580,true,false,true,2022-12-15,0,74,false,false,false,1,REGULAR,1,q1,105632,UCLA,105502,Southern California,1688710,Rayah Marshall,22,3,149,07:31:00,3,18,2pt,jumpshot,false,0,0,2,0,RIGHT,33,0,83,26,37,31.019999999999996,37.5875,31.5,16.098,insideright,mid2,re2,re2,lng2,1928813-1320951-1320952-1928812-1612047,1309478-958190-1599990-1001636-1688710,rebound,
2171580-24,2022-12-16 05:03:04 UTC,33535,105502,105632,74,74,2171580,true,false,true,2022-12-15,0,74,false,false,false,1,REGULAR,1,q1,105502,Southern California,105632,UCLA,1612047,Emily Bessoir,24,3,171,07:09:00,10,19,3pt,jumpshot,false,0,0,2,0,LEFT,35,0,13,96,48,34.78,47.2875,35.7,24.033,outsideright,c3,rc3,rc3,sht3,1928813-1320951-1320952-1928812-1612047,1309478-958190-1599990-1001636-1688710,rebound,
2171580-28,2022-12-16 05:03:04 UTC,33535,105502,105632,74,74,2171580,true,false,true,2022-12-15,0,74,false,false,false,1,REGULAR,1,q1,105632,UCLA,105502,Southern California,958190,Destiny Littleton,28,4,181,06:59:00,25,6,3pt,jumpshot,true,3,0,5,0,RIGHT,39,0,71,20,40,19.739999999999995,40.0125,18.9,26.635,outsideright,atb3,rw3,rw3,lng3,1928813-1320951-1320952-1928812-1612047,1309478-958190-1599990-1001636-1688710,steal,1599990
2171580-30,2022-12-16 05:03:04 UTC,33535,105502,105632,74,74,2171580,true,false,true,2022-12-15,0,74,false,false,false,1,REGULAR,1,q1,105502,Southern California,105632,UCLA,1928812,Kiki Rice,30,4,207,06:33:00,8,26,2pt,jumpshot,false,0,0,5,0,LEFT,45,0,7,37,18.5,40.42,18.1875,39.9,6.635,insideleft,mid2,lb2,lb2,sht2,1928813-1320951-1320952-1928812-1928822,1309478-958190-1599990-1001636-1688710,assist,
